lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
166.5,166.6,-45.4,-45.3,0.0,40.0,5.0,10.5,6.8749878037716353e-04,0.000000,1
166.5,166.6,-45.3,-45.2,0.0,40.0,5.0,10.5,7.7509862497503927e-04,0.000000,1
166.5,166.6,-45.2,-45.1,0.0,40.0,5.0,10.5,6.9719876316939411e-04,0.000000,1
166.5,166.6,-45.1,-45.0,0.0,40.0,5.0,10.5,5.5739901117415414e-04,0.000000,1
166.5,166.6,-45.0,-44.9,0.0,40.0,5.0,10.5,4.7619915522269853e-04,0.000000,1
166.5,166.6,-44.9,-44.8,0.0,40.0,5.0,10.5,4.2979923753615255e-04,0.000000,1
166.6,166.7,-47.2,-47.1,0.0,40.0,5.0,10.5,6.0569892549010607e-05,0.000000,1
166.6,166.7,-47.1,-47.0,0.0,40.0,5.0,10.5,6.3089888078538529e-05,0.000000,1
166.6,166.7,-47.0,-46.9,0.0,40.0,5.0,10.5,6.6989881159950810e-05,0.000000,1
166.6,166.7,-46.9,-46.8,0.0,40.0,5.0,10.5,7.2969870551449638e-05,0.000000,1
166.6,166.7,-46.8,-46.7,0.0,40.0,5.0,10.5,8.3259852297022018e-05,0.000000,1
166.6,166.7,-46.7,-46.6,0.0,40.0,5.0,10.5,1.0879980698914239e-04,0.000000,1
166.6,166.7,-46.6,-46.5,0.0,40.0,5.0,10.5,1.8449967269758063e-04,0.000000,1
166.6,166.7,-46.5,-46.4,0.0,40.0,5.0,10.5,1.7649968688955545e-04,0.000000,1
166.6,166.7,-46.4,-46.3,0.0,40.0,5.0,10.5,1.5159973106207707e-04,0.000000,1
166.6,166.7,-46.3,-46.2,0.0,40.0,5.0,10.5,1.5709972130509438e-04,0.000000,1
166.6,166.7,-46.2,-46.1,0.0,40.0,5.0,10.5,1.7829968369636112e-04,0.000000,1
166.6,166.7,-46.1,-46.0,0.0,40.0,5.0,10.5,1.9949964608762782e-04,0.000000,1
166.6,166.7,-46.0,-45.9,0.0,40.0,5.0,10.5,2.4019957388595592e-04,0.000000,1
166.6,166.7,-45.9,-45.8,0.0,40.0,5.0,10.5,3.6569935124935082e-04,0.000000,1
166.6,166.7,-45.8,-45.7,0.0,40.0,5.0,10.5,5.6139900407816670e-04,0.000000,1
166.6,166.7,-45.7,-45.6,0.0,40.0,5.0,10.5,5.8229896700163250e-04,0.000000,1
166.6,166.7,-45.6,-45.5,0.0,40.0,5.0,10.5,4.8679913641833198e-04,0.000000,1
166.6,166.7,-45.5,-45.4,0.0,40.0,5.0,10.5,5.4829902731752544e-04,0.000000,1
166.6,166.7,-45.4,-45.3,0.0,40.0,5.0,10.5,7.4739867411475200e-04,0.000000,1
166.6,166.7,-45.3,-45.2,0.0,40.0,5.0,10.5,1.0069982135851691e-03,0.000000,1
166.6,166.7,-45.2,-45.1,0.0,40.0,5.0,10.5,9.2909835177952375e-04,0.000000,1
166.6,166.7,-45.1,-45.0,0.0,40.0,5.0,10.5,6.6549881940509428e-04,0.000000,1
166.6,166.7,-45.0,-44.9,0.0,40.0,5.0,10.5,5.1659908355322572e-04,0.000000,1
166.6,166.7,-44.9,-44.8,0.0,40.0,5.0,10.5,4.4089921784478753e-04,0.000000,1
166.6,166.7,-44.8,-44.7,0.0,40.0,5.0,10.5,3.8719931310841850e-04,0.000000,1
166.7,166.8,-47.3,-47.2,0.0,40.0,5.0,10.5,5.0349910679258446e-05,0.000000,1
166.7,166.8,-47.2,-47.1,0.0,40.0,5.0,10.5,5.2259907290924453e-05,0.000000,1
166.7,166.8,-47.1,-47.0,0.0,40.0,5.0,10.5,5.4809902767232480e-05,0.000000,1
166.7,166.8,-47.0,-46.9,0.0,40.0,5.0,10.5,5.8519896185704165e-05,0.000000,1
166.7,166.8,-46.9,-46.8,0.0,40.0,5.0,10.5,6.4159886180361914e-05,0.000000,1
166.7,166.8,-46.8,-46.7,0.0,40.0,5.0,10.5,7.3019870462749800e-05,0.000000,1
166.7,166.8,-46.7,-46.6,0.0,40.0,5.0,10.5,8.9009842096540110e-05,0.000000,1
166.7,166.8,-46.6,-46.5,0.0,40.0,5.0,10.5,1.2809977275100311e-04,0.000000,1
166.7,166.8,-46.5,-46.4,0.0,40.0,5.0,10.5,1.3759975589803305e-04,0.000000,1
166.7,166.8,-46.4,-46.3,0.0,40.0,5.0,10.5,1.3439976157482295e-04,0.000000,1
166.7,166.8,-46.3,-46.2,0.0,40.0,5.0,10.5,1.4719973886766324e-04,0.000000,1
166.7,166.8,-46.2,-46.1,0.0,40.0,5.0,10.5,1.7899968245456329e-04,0.000000,1
